"Week","Incident","Category","OldPRC","ProposedPRC","AISnippet"
"2026-W26","INC15608572","Microsoft OneDrive Issues","Usage Guidance (How Do I)","Sync Stall","Problem: - Issue: The user needed help moving large files into OneDrive so they could sync them to the cloud and free local disk space. - Root Cause: The work notes do not show a OneDrive service faul"
"2026-W27","INC15611207","Microsoft OneDrive Issues","Usage Guidance (How Do I)","File Availability Setting","Problem: - Issue: After a recent PC replacement, the user wanted to verify whether all OneDrive files had synced and compare the synced file count between the old and new PCs. - Root Cause: The work n"
"2026-W27","INC15617844","Microsoft OneDrive Issues","Usage Guidance (How Do I)","Sync Stall","Problem: - Issue: The user wanted to confirm that desktop files were syncing to OneDrive before replacing her system so she would not lose data. - Root Cause: The work notes do not show an actual OneD"
"2026-W27","INC15618270","Microsoft 365 Apps for Enterprise Issues","Usage Guidance (How Do I)","Unknown","Problem: - Issue: The user asked whether Microsoft Office could be installed on a Windows Server 2022 system, either online or offline, to support migration of an older application. - Root Cause: The "
"2026-W27","INC15618488","Microsoft 365 Apps for Enterprise Issues","Usage Guidance (How Do I)","Office Feature Not Working","Problem: - Issue: The user asked how to obtain and deploy Office 2019 on servers, including whether there was a KB article or supported installation method to update it to a specific build. - Root Cau"
"2026-W28","INC15627168","Microsoft OneDrive Issues","Usage Guidance (How Do I)","Unknown","Problem: - Issue: The user wanted help creating a Downloads folder in OneDrive and configuring Chrome so downloaded files would save directly into that synced folder. - Root Cause: The work notes do n"
"2026-W28","INC15629028","Microsoft 365 Apps for Enterprise Issues","Usage Guidance (How Do I)","Unknown","Problem: - Issue: The user asked how to request a Microsoft 365 license for a generic or shared mailbox account and wanted to understand whether that account type could be licensed. - Root Cause: The "
"2026-W28","INC15630954","Microsoft OneDrive Issues","Usage Guidance (How Do I)","Sync Stall","Problem: - Issue: The user reported that Excel and PowerPoint files shared through Teams appeared not to be syncing correctly in OneDrive because the files were no longer showing in the expected locat"
"2026-W28","INC15632266","Microsoft OneDrive Issues","Usage Guidance (How Do I)","ERR","Problem: - Issue: The user contacted support for help understanding how to enable and manage OneDrive backup and how to move folders into OneDrive. - Root Cause: The work notes show this was not cause"
"2026-W28","INC15633969","Microsoft OneDrive Issues","Usage Guidance (How Do I)","Rejoin Access Issue","Problem: - Issue: The user asked how to remove a SharePoint folder that was appearing locally in File Explorer through OneDrive sync. - Root Cause: The work notes do not show a technical fault with On"
"2026-W29","INC15639811","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot SKU Not Provisioned","Problem: - Issue: The user called to ask how to upgrade to a Microsoft 365 Copilot license because they did not currently have Copilot access assigned. - Root Cause: The work notes show this was not a"
"2026-W29","INC15652224","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot Access / Environment Configuration Issue","Problem: - Issue: The user asked how to obtain Microsoft 365 Copilot access for AI assistance in Teams meetings, including note-taking and action item support. - Root Cause: The work notes show this w"
"2026-W30","INC15654862","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot Access / Environment Configuration Issue","Problem: - Issue: The user contacted support because they needed help submitting a request for Microsoft 365 Copilot access. - Root Cause: The work notes show this was not a Copilot malfunction or mis"
"2026-W30","INC15655734","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot Access / Environment Configuration Issue","Problem: - Issue: The user asked how to request an M365 Copilot Enterprise license for their business role and what approval was needed. - Root Cause: The work notes show this was an informational req"
"2026-W30","INC15661067","Microsoft OneDrive Issues","Usage Guidance (How Do I)","Sync Stall","Problem: - Issue: The user called for help understanding how to get OneDrive files from an old laptop onto a new laptop. - Root Cause: The work notes show no technical fault with OneDrive because the "
"2026-W30","INC15662753","Microsoft OneDrive Issues","Usage Guidance (How Do I)","File Availability Setting","Problem: - Issue: The user asked for an Intel-approved way to store and share marketing files with external suppliers after encountering a Google Drive access message with their Intel account. - Root "
"2026-W30","INC15663459","Microsoft OneDrive Issues","Usage Guidance (How Do I)","Unknown","Problem: - Issue: The user asked for help moving shared OneDrive folders from the Desktop area into a different personal OneDrive folder for better organization. - Root Cause: The work notes do not sh"
"2026-W30","INC15664999","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot Access / Environment Configuration Issue","Problem: - Issue: The user called to confirm whether the Copilot experience she was using in Teams was the correct approved Microsoft 365 Copilot version. - Root Cause: The work notes show no technica"
"2026-W31","INC15669255","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot Access / Environment Configuration Issue","Problem: The user reported that the new agent feature was not visible in Microsoft 365 Copilot when they accessed it through the browser Root Cause: The work notes show there was no Copilot outage, li"
"2026-W31","INC15670844","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot Access / Environment Configuration Issue","Problem: The user wanted two-way interpreter capability during a Teams meeting and found that the standard live captions translation option only supported one-way translation Root Cause: The notes sho"
"2026-W31","INC15670990","Microsoft Word Issues","Usage Guidance (How Do I)","Word Formatting / Layout Issue","Problem: The user needed help recovering an earlier version of a Word document stored in SharePoint and could not complete the recovery without support guidance Root Cause: The work notes do not show "
"2026-W31","INC15673478","Microsoft OneDrive Issues","Usage Guidance (How Do I)","Unknown","Problem: The user needed help recovering a file that had been deleted from the local disk, the local recycle bin, OneDrive online, and the primary OneDrive recycle bin Root Cause: The work notes do no"
"2026-W31","INC15674400","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot Access / Environment Configuration Issue","Problem: The user asked whether Teams Copilot, Facilitator, and transcription can be used in meetings that include external suppliers and wanted guidance on any related requirements Root Cause: The wo"
"2026-W32","INC15687502","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","Copilot Access / Environment Configuration Issue","Problem: The user asked how to get access to the Facilitator feature in Microsoft Teams and needed guidance on the required entitlement Root Cause: The work notes show this was not a technical failure"
"2026-W33","INC15702073","Microsoft 365 Copilot Issues","Usage Guidance (How Do I)","ERR","Problem: The user asked how to upgrade from basic Copilot access to the premium Microsoft 365 Copilot license Root Cause: The ticket documents a licensing guidance request rather than a technical fail"
"2026-W33","INC15702541","Microsoft OneDrive Issues","Usage Guidance (How Do I)","Missing Files After PC Refresh","Problem: The user asked for help making sure files from an old laptop were available on a new laptop through OneDrive during a device transition Root Cause: The work notes do not show a OneDrive sync "
