"PartitionKey","RowKey","Category","Subcategory","PossibleRootCause","DetailedRootCause","RootCause","AIAnalysis","Service","Misrouted","Date","YearWeek","Year","WeekNumber","ReportBlobName","Timestamp"
"2026-W23","INC15550492","Microsoft OneDrive Issues","Long file Path issue","Long File Path Issue","Long path or filename conflict",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15550633","Shared File Service (Share Drives) Issues","Access permission issue on a shared / mapped drive path",,,"The user could not access the SMB share path on the shared drive server despite permissions being present, likely due to a share/path access or inheritance issue on the drive.","The incident is about access to a shared drive UNC path (\\vmspfsfslc001.ger.corp.intel.com\Pyrl), which maps directly to Shared File Service rather than OneDrive or any Office app. Work notes show the user had permissions in AGS, then the engineer reapplied inheritance via script and the user confirmed resolution, indicating a share permission/inheritance problem. The ticket was closed after email confirmation that access was restored.",,,"2026-06-04","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15550864","Microsoft OneDrive Issues","Long file Path issue","Long File Path Issue","Long path or filename conflict",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15551098","Microsoft OneDrive Issues","OneDrive client not running","OneDrive Client Failure","OneDrive client failed to launch",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15551581","Microsoft 365 Copilot Issues","Copilot license missing","Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15551774","Excluded","","Unknown","Unknown",,,"Productivity Tools","True","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15551795","Microsoft 365 Copilot Issues","","Copilot SKU Not Provisioned","Copilot usage / how-to question",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15551796","Microsoft 365 Apps for Enterprise Issues","Installation failure","Click-to-Run Installer Corruption","Corrupted Office installation",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15551799","Microsoft OneDrive Issues","OneDrive sync failure","Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15551812","Microsoft OneNote Issues","Data loss after PC refresh","Data Loss After PC Refresh","OneNote data loss after PC refresh",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15552287","Microsoft OneNote Issues","Notebook sync failure","Notebook Not Added on New Device","Notebook not added on new device",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15552436","Microsoft Excel Issues","File not opening","Hung Excel Process","Excel stuck in hung process",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15552970","Excluded","","Unknown","Unknown",,,"Productivity Tools","True","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15553002","Microsoft OneDrive Issues","Former employee data — within 30 days","Former Employee Data Request","Former-employee OneDrive data request",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15553369","Microsoft OneDrive Issues","Shared file access issue","Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15553449","Microsoft OneNote Issues","","Data Loss After PC Refresh","OneNote data loss after PC refresh",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15553465","Microsoft 365 Apps for Enterprise Issues","","Office App Crash","Stale Office / Teams cached state",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15553936","Microsoft OneDrive Issues","Rejoin access issue","Rejoin Access Issue","Rejoin access not reapplied to OneDrive",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15554459","Microsoft Excel Issues","File not opening","Hung Excel Process","Excel stuck in hung process",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15554469","Microsoft Excel Issues","File save failure","File Locked by Another User","Excel data refresh failure",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15554663","Microsoft OneDrive Issues","OneDrive client not running","Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15554690","Microsoft Forms Issues","Forms access issue","Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15554740","Microsoft Excel Issues","Add-in issue","Corrupted Add-in","Corrupted Excel add-in",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15554826","Microsoft OneDrive Issues","OneDrive sync failure","Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15555094","Microsoft 365 Apps for Enterprise Issues","License / entitlement query","Usage Guidance (How Do I)","Office usage / how-to question",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15555171","Microsoft Forms Issues","Forms access issue","Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15555272","Microsoft 365 Apps for Enterprise Issues","License / entitlement query","F3 License Restriction","Office usage / how-to question",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15555284","Microsoft Forms Issues","","Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15555349","Microsoft Forms Issues","Forms access issue","Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15555395","Microsoft OneDrive Issues","Shared file access issue","Shared File Permission Denied","Office app cannot open file due to missing share",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15555420","Microsoft OneDrive Issues","Shared file access issue","Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15555424","Microsoft 365 Copilot Issues","Copilot license missing","Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools","False","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15556075","Excluded","","Unknown","Unknown",,,"Productivity Tools","True","2026-06-03","2026-W23","2026","23","EUC_Weekly_Report_2026-W23.html",
"2026-W23","INC15557627","Microsoft OneDrive Issues","Access denied / You need permission to access this item on a shared file",,,"Rejoined user identity mismatch caused SharePoint/OneDrive sharing permissions to not apply to the new account, requiring the user to be removed and re-added.","This was a OneDrive/SharePoint shared-file access problem for a returning employee. The notes show the user could not access files shared by the manager until the backend script was run and the user confirmed access was restored, which matches a rejoin/permission reapplication scenario rather than a general SharePoint outage. Microsoft OneDrive Issues is the best fit because the root cause was shared file permission access for a rejoined identity.",,,"2026-06-07","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15557695","Microsoft OneDrive Issues","Access denied / You need permission to access this item on a shared file",,,"The rehired user's old sharing permissions were tied to a prior identity and needed to be removed and re-granted by the OneDrive owner.","The issue was with shared file access, not the Office apps themselves. Work notes show the user is a rehired employee and the fix was to have the OneDrive owner completely remove the user from the site and grant permission again, which matches a OneDrive permission re-share scenario. The ticket was closed after those steps were provided and the user confirmed closure.",,,"2026-06-03","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15558095","Microsoft Word Issues","Formatting issue",,,"The user needed assistance configuring page margins in Microsoft Word, which is a Word formatting/usage issue rather than a technical failure.","The ticket is about Microsoft Word and the user was asking how to set page margins. The agent remotely guided the user through the margin settings in Word and the issue was confirmed resolved, with no KB or error code involved. This is a user-education/formatting scenario under Microsoft Word Issues, not an Outlook or suite-wide Office problem.",,,"2026-06-03","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15558237","Microsoft Excel Issues","File save failure",,,"The copied workbook contained formulas or locked cells from the external source that prevented editing the copied range.","The issue was in Excel and affected only the workbook content after making a copy, not Office licensing or a multi-app problem. Work notes say the problem was due to formulas and that the external sender needed to unlock the columns before sharing, which points to workbook/cell protection or formula-driven restrictions inside Excel. The issue was resolved by advising the user to have the external sender unlock the file/columns and reshare it.",,,"2026-06-04","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15560035","Microsoft Forms Issues","Forms not accessible",,,"Microsoft Forms was not enabled or accessible for the user account, preventing creation of Teams meeting polls.","The user was trying to add poll questions to a Teams meeting and received the Forms access error stating the organization had not enabled Microsoft Forms for the current account. This maps to Microsoft Forms Issues because Teams polls depend on Forms access, and the error is specifically about Forms entitlement/enablement rather than Teams itself. The ticket was later confirmed resolved by the user.",,,"2026-06-05","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15560283","Shared File Service (Share Drives) Issues","Mapped drive not connecting",,,"The P: mapped network drive was removed and the user did not have the correct UNC path to remap the share.","This was a Shared File Service issue involving a mapped P drive, not a OneDrive or Office app problem. The agent provided the correct server path (\\AMRPRUP03.amr.corp.intel.com\alindsey$) and guided the user through remapping the drive, after which the folders were visible and the issue was confirmed resolved.",,,"2026-06-04","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15560670","Microsoft OneDrive Issues","Access denied / You need permission to access this item on a shared file",,,"The user’s rejoined identity did not yet have access to the shared SharePoint/OneDrive content, so the file owner needed to re-share the item to the new account.","",,,"2026-06-04","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15560839","Google Workspace Issues","Access issue",,,"The user lacked the required Google Workspace license/entitlement needed to access Google Docs.","The ticket is in scope for Google Workspace and the root cause was a missing Google Apps Workspace license, not a document-specific problem. Work notes show the user received the message We are sorry, but you do not have access to Google Docs and the agent confirmed the account was not licensed. The resolution was to direct the user to submit an AGS request for the Google Apps Workspace License with manager approval.",,,"2026-06-04","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15561249","Microsoft OneDrive Issues","Rejoined user - previous OneDrive content unavailable",,,"Rehired user retained an old SharePoint/OneDrive permission mapping tied to the prior identity, so access had to be removed and re-granted for the new account.","The incident was about a rejoined employee who could not access a shared SharePoint/OneDrive item and the URL showed an AccessDenied page from intel-my.sharepoint.com. The notes say the user was rehired and the owner needed to remove the user from the site collection and grant permission again, which matches the rejoined-user access pattern under OneDrive. The issue was resolved by providing the owner re-share/removal steps and confirming closure with the customer.",,,"2026-06-05","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15561496","Microsoft OneDrive Issues","Access denied / You need permission to access this item on shared file",,,"The user's access entry on the shared OneDrive item was stale or not fully reapplied, so the owner needed to remove and re-share the file permissions.","The incident is a OneDrive shared-file access problem, not a general Office or device issue. The work notes show the user could not open a file that had been shared with them, and the fix was to have the owner remove the user from site collection permissions and share the file again. KB10019609 was referenced, which aligns with the OneDrive permission/access scenario.",,,"2026-06-05","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15562554","Microsoft OneDrive Issues","Sync failure (file not uploading, file in cloud missing on device)",,,"The desktop files were stored in OneDrive but the user was not signed into OneDrive, so the files were not synced and could not be opened locally.","The issue was about desktop files with a OneDrive cloud/storage icon that would not open because the user was not logged into OneDrive. After the agent signed the user into OneDrive, the sync status cleared and the files opened normally. This is a OneDrive sync/access problem, not a Windows OS issue.",,,"2026-06-05","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15562758","Microsoft OneDrive Issues","OneDrive client not working / stopped",,,"The OneDrive client configuration or installation was incomplete or corrupted, preventing normal access until the client was reinstalled and the user signed in again.","The ticket is about Microsoft OneDrive, and the failure was not a file permission issue on a document but a client/configuration problem where the user could not use OneDrive properly. Work notes show the agent tried to uninstall OneDrive, found it was not installed, then installed OneDrive from Company Portal and signed in with the Intel ID, after which the issue was fixed. This fits OneDrive client not working/stopped rather than Share Drive, Office, or any other Productivity Tools category.",,,"2026-06-05","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15562787","Excluded","Unknown",,,"Request for application permissions/admin consent, which is outside Productivity Tools incident support and appears to be a service request.","The ticket is asking for grant admin consent to add application permissions (ChannelMessage.Read.All, Team.ReadBasic.All, Channel.ReadBasic.All). That is an access/request action rather than a Productivity Tools product failure, and the notes show the user was given a support link to submit a request. No in-scope Office/OneDrive/Copilot/ShareDrive application issue or technical defect was documented.",,,"2026-06-06","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15562811","Microsoft OneNote Issues","OneNote not responding",,,"OneNote was likely stuck in an abnormal view/UI state causing notebook content not to render until switched back to Normal view.","The issue was in Microsoft OneNote, not a broader Office suite problem, because the user could see the notebook list but the page content would not display when selected. The technician closed OneNote, ended the task, then changed the View setting to Normal View, after which the notes displayed correctly and the user confirmed resolution. This matches a OneNote client UI/rendering issue rather than sync, licensing, or a multi-app Microsoft 365 Apps issue.",,,"2026-06-05","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15562947","Microsoft PowerPoint Issues","PowerPoint crashing / freezing",,,"PowerPoint was hanging due to a corrupted or stale Office file cache / temporary cache state.","The incident was isolated to PowerPoint and the symptom was that it became unresponsive when presenting slides, which fits the PowerPoint-specific crashing/freezing category rather than a suite-wide Office issue. The issue was resolved after repairing Microsoft 365 Apps, clearing %temp%, deleting the OfficeFileCache, and restarting the system, which points to a local cache/state problem. Evidence in the notes shows the user confirmed the fix and the ticket was closed as solution provided.",,,"2026-06-05","2026-W23","2026","23","incremental-runbook",
"2026-W23","INC15563014","Microsoft OneNote Issues","Data not available after rejoin",,,"The user was trying to recover OneNote content from a prior contractor account after changing identities, which is a rejoin-style data access scenario rather than a sync or app failure.","The ticket is about retrieving a OneNote workbook from an old contractor account after the user converted from GB to BB, which matches a OneNote data recovery/rejoin scenario. Work notes show the agent shared KB10058380 and the user confirmed the needed data was already saved in OneDrive, so the issue was resolved by guidance rather than a technical app fix. This is not OneDrive sync or a generic Office issue; the root cause is old-account notebook/data availability.",,,"2026-06-05","2026-W23","2026","23","incremental-runbook",
