"PartitionKey","RowKey","Category","Subcategory","Confidence","PossibleRootCause","DetailedRootCause","AIAnalysis","Reasoning","Service"
"2026-W17","INC15462213","Microsoft OneDrive Issues","Former employee data — beyond 30 days",,"Rejoin Access Issue","Previous OneDrive site not retained",,,"Productivity Tools"
"2026-W17","INC15462421","Microsoft OneDrive Issues","OneDrive client not running",,"OneDrive Client Failure","OneDrive client failed to launch",,,"Productivity Tools"
"2026-W17","INC15462720","Microsoft Forms Issues","Forms access issue",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W17","INC15462856","Microsoft OneDrive Issues","OneDrive sync failure",,"Long File Path Issue","Long path or filename conflict",,,"Productivity Tools"
"2026-W17","INC15462873","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15463180","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15463212","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15463341","Microsoft OneDrive Issues","Shared file access issue",,"Rejoin Access Issue","Stale permission entry on old identity",,,"Productivity Tools"
"2026-W17","INC15463355","Microsoft Excel Issues","File not opening",,"Stale Desktop Cache","Stale Excel desktop cache",,,"Productivity Tools"
"2026-W17","INC15463369","Microsoft OneDrive Issues","OneDrive sync failure",,"Long File Path Issue","Long path or filename conflict",,,"Productivity Tools"
"2026-W17","INC15463410","Microsoft Excel Issues","File not opening",,"Hung Excel Process","Excel stuck in hung process",,,"Productivity Tools"
"2026-W17","INC15463421","Microsoft PowerPoint Issues","Addin not available",,"Corporate Add-in Not Available","PowerPoint add-in not deployed by IT",,,"Productivity Tools"
"2026-W17","INC15463509","Microsoft 365 Copilot Issues","",,"Usage Guidance (How Do I)","Copilot usage / how-to question",,,"Productivity Tools"
"2026-W17","INC15463742","Microsoft OneDrive Issues","Shared file access issue",,"Rejoin Access Issue","Stale permission entry on old identity",,,"Productivity Tools"
"2026-W17","INC15463871","Microsoft 365 Apps for Enterprise Issues","Installation failure",,"Click-to-Run Installer Corruption","Corrupted Office installation",,,"Productivity Tools"
"2026-W17","INC15463970","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W17","INC15463980","Microsoft OneDrive Issues","OneDrive sync failure",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W17","INC15464193","Microsoft PowerPoint Issues","Presentation not opening",,"Presentation Won't Open","Presentation won't open",,,"Productivity Tools"
"2026-W17","INC15464204","Microsoft Forms Issues","Poll feature disabled",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W17","INC15464346","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15464397","Microsoft PowerPoint Issues","Addin not available",,"Corporate Add-in Not Available","PowerPoint add-in not deployed by IT",,,"Productivity Tools"
"2026-W17","INC15464442","Microsoft OneDrive Issues","OneDrive sync failure",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W17","INC15464505","Microsoft PowerPoint Issues","Addin not available",,"Corporate Add-in Not Available","PowerPoint add-in not deployed by IT",,,"Productivity Tools"
"2026-W17","INC15464513","Microsoft 365 Apps for Enterprise Issues","App login failure",,"Corrupted Office Identity","Office sign-in / login failure",,,"Productivity Tools"
"2026-W17","INC15464672","Microsoft Word Issues","",,"Usage Guidance (How Do I)","Word usage / how-to question",,,"Productivity Tools"
"2026-W17","INC15464951","Microsoft OneDrive Issues","Sync stuck issue",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W17","INC15465074","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15465300","Shared File Service (Share Drives) Issues","Access permission issue",,"AGS Share Entitlement Missing","Missing AGS entitlement for share",,,"Productivity Tools"
"2026-W17","INC15465503","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15466048","Microsoft Word Issues","Document not opening",,"Usage Guidance (How Do I)","Word usage / how-to question",,,"Productivity Tools"
"2026-W17","INC15466416","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W17","INC15466495","Microsoft 365 Copilot Issues","Copilot usage query",,"Usage Guidance (How Do I)","Copilot usage / how-to question",,,"Productivity Tools"
"2026-W17","INC15466884","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15466901","Excluded","Out of scope","High","Out-of-scope Service Offering","Unknown","User requested an increase in the monthly limit for GitHub Copilot. GitHub Copilot is owned by the GitHub team (not the Microsoft 365 Copilot Productivity Tools team), so the agent redirected the user to the GitHub SaaS catalog. Out of scope for PT root-cause analysis.",,"Productivity Tools"
"2026-W17","INC15467039","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15467158","Shared File Service (Share Drives) Issues","Access permission issue",,"AGS Share Entitlement Missing","Missing AGS entitlement for share",,,"Productivity Tools"
"2026-W17","INC15467247","Microsoft PowerPoint Issues","Addin not available",,"Corporate Add-in Not Available","PowerPoint add-in not deployed by IT",,,"Productivity Tools"
"2026-W17","INC15467692","Microsoft 365 Copilot Issues","",,"Usage Guidance (How Do I)","Copilot usage / how-to question",,,"Productivity Tools"
"2026-W17","INC15467889","Microsoft Excel Issues","File not opening",,"Stale Desktop Cache","Stale Excel desktop cache",,,"Productivity Tools"
"2026-W17","INC15467899","Microsoft Forms Issues","",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W17","INC15467942","Microsoft PowerPoint Issues","File corruption issue",,"PowerPoint File Corruption","PowerPoint file corruption",,,"Productivity Tools"
"2026-W17","INC15468100","Microsoft 365 Apps for Enterprise Issues","Installation failure",,"Company Portal Install Stuck","Click-to-Run installer hung in Company Portal",,,"Productivity Tools"
"2026-W17","INC15468221","Microsoft OneNote Issues","OneNote not responding",,"OneNote Client Fault","OneNote client launch failure",,,"Productivity Tools"
"2026-W17","INC15468292","Microsoft OneNote Issues","Missing notes issue",,"Missing Notes / Pages","Missing notes or pages in notebook",,,"Productivity Tools"
"2026-W17","INC15468402","Microsoft OneDrive Issues","",,"Known Folder Backup Failure","Known Folder Backup failure",,,"Productivity Tools"
"2026-W17","INC15468520","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15468829","Microsoft Loop Issues","Loop integration issue",,"Loop Membership Not Provisioned","Loop workspace load failure",,,"Productivity Tools"
"2026-W17","INC15468922","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15469485","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15469576","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15469721","Microsoft OneDrive Issues","Rejoin access issue",,"Rejoin Access Issue","Stale permission entry on old identity",,,"Productivity Tools"
"2026-W17","INC15469761","Shared File Service (Share Drives) Issues","Access permission issue",,"Mapped Drive Not Reconnected","Missing AGS entitlement for share",,,"Productivity Tools"
"2026-W17","INC15469936","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15470295","Microsoft OneDrive Issues","Former employee data — within 30 days",,"Former Employee Data Request","Former-employee OneDrive data request",,,"Productivity Tools"
"2026-W17","INC15470360","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15470579","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15470653","Microsoft 365 Apps for Enterprise Issues","App login failure",,"Corrupted Office Identity","Corrupted Office identity / cached credential",,,"Productivity Tools"
"2026-W17","INC15470841","Microsoft OneDrive Issues","OneDrive sync failure",,"Long File Path Issue","Long path or filename conflict",,,"Productivity Tools"
"2026-W17","INC15471060","Microsoft Forms Issues","Forms access issue",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W17","INC15471465","Microsoft 365 Apps for Enterprise Issues","License not assigned",,"AGS Entitlement Missing","M365 Apps license not assigned after rejoin",,,"Productivity Tools"
"2026-W17","INC15471760","Microsoft 365 Apps for Enterprise Issues","Installation failure",,"Click-to-Run Installer Corruption","Corrupted Office installation",,,"Productivity Tools"
"2026-W17","INC15471826","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15471916","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15471962","Shared File Service (Share Drives) Issues","Mapped drive not connecting",,"Mapped Drive Not Reconnected","Drive remap required after PC change",,,"Productivity Tools"
"2026-W17","INC15472127","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W17","INC15472415","Microsoft OneDrive Issues","OneDrive client not running",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W17","INC15474010","Microsoft Excel Issues","File not opening",,"Hung Excel Process","Excel stuck in hung process",,,"Productivity Tools"
"2026-W17","INC15474593","Microsoft 365 Copilot Issues","",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15475016","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W17","INC15475119","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W17","INC15475277","Microsoft OneDrive Issues","OneDrive client not running",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W18","INC15467477","Microsoft OneDrive Issues","Rejoin access issue",,"Rejoin Access Issue","Rejoin access not reapplied to OneDrive",,,"Productivity Tools"
"2026-W18","INC15472187","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15472681","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15472808","Microsoft OneDrive Issues","OneDrive usage query",,"Missing Files After PC Refresh","Missing files after PC refresh (OneDrive)",,,"Productivity Tools"
"2026-W18","INC15474243","Microsoft OneDrive Issues","Long file Path issue",,"Long File Path Issue","Long path or filename conflict",,,"Productivity Tools"
"2026-W18","INC15474750","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15476205","Shared File Service (Share Drives) Issues","Mapped drive not connecting",,"Mapped Drive Not Reconnected","Drive-letter / resource conflict",,,"Productivity Tools"
"2026-W18","INC15476427","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15476928","Microsoft 365 Apps for Enterprise Issues","Office apps not opening",,"Click-to-Run Installer Corruption","Corrupted Office installation",,,"Productivity Tools"
"2026-W18","INC15477020","Microsoft Excel Issues","File not opening",,"Stale Desktop Cache","Stale Excel desktop cache",,,"Productivity Tools"
"2026-W18","INC15477274","Microsoft Excel Issues","File not opening",,"Hung Excel Process","Excel stuck in hung process",,,"Productivity Tools"
"2026-W18","INC15477295","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15477585","Microsoft OneDrive Issues","Quota Storage Issue",,"Quota Storage Issue","OneDrive storage quota exceeded",,,"Productivity Tools"
"2026-W18","INC15477804","Microsoft 365 Copilot Issues","Feature rollout issue",,"Copilot SKU Not Provisioned","Copilot SKU not provisioned for region / BU",,,"Productivity Tools"
"2026-W18","INC15478144","Microsoft OneDrive Issues","OneDrive sync failure",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W18","INC15478521","Microsoft 365 Copilot Issues","Copilot not visible",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15478572","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot SKU Not Provisioned","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15478933","Microsoft OneDrive Issues","Rejoin access issue",,"Rejoin Access Issue","Stale permission entry on old identity",,,"Productivity Tools"
"2026-W18","INC15478940","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15479031","Microsoft OneNote Issues","OneNote not responding",,"OneNote Client Fault","OneNote client launch failure",,,"Productivity Tools"
"2026-W18","INC15479459","Microsoft OneDrive Issues","Rejoin access issue",,"Rejoin Access Issue","Stale permission entry on old identity",,,"Productivity Tools"
"2026-W18","INC15479568","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15479850","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15480056","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15480187","Microsoft Excel Issues","Add-in issue",,"Corrupted Add-in","Corrupted Excel add-in",,,"Productivity Tools"
"2026-W18","INC15480418","Microsoft Forms Issues","Forms access issue",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W18","INC15480547","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15480990","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15481335","Excluded","Out of scope","Medium","Out-of-scope Service Offering","Unknown","User could not connect their GitHub Copilot business account to VS Code; resolved as a 1Source (Intel identity / SSO) issue rather than a Productivity Tools fault. GitHub Copilot is owned by the GitHub team and is out of scope for Productivity Tools root-cause analysis.",,"Productivity Tools"
"2026-W18","INC15481351","Microsoft OneDrive Issues","Rejoin access issue",,"PUID Mismatch","Rejoin access not reapplied to OneDrive",,,"Productivity Tools"
"2026-W18","INC15482181","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W18","INC15482278","Google Workspace Issues","Google access issue",,"External Sharing Blocked by Policy","Google Drive upload blocked by IT policy",,,"Productivity Tools"
"2026-W18","INC15482380","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15482638","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15482839","Microsoft OneNote Issues","OneNote not responding",,"OneNote Client Fault","OneNote client launch failure",,,"Productivity Tools"
"2026-W18","INC15482862","Microsoft Forms Issues","Forms feature missing",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W18","INC15483359","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15483514","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15483915","Excluded","Out of scope","High","Out-of-scope Service Offering","Unknown","User could not access GitHub Copilot despite having approvals; agent confirmed Intel GitHub Copilot licenses were withdrawn pending ongoing business discussions, with availability deferred to July. GitHub Copilot is owned by the GitHub team and is out of scope for Productivity Tools.",,"Productivity Tools"
"2026-W18","INC15484047","Microsoft Excel Issues","Data refresh failure",,"Data Refresh Failure","Excel data refresh failure",,,"Productivity Tools"
"2026-W18","INC15484670","Microsoft 365 Apps for Enterprise Issues","License not assigned",,"License Not Assigned After Rejoin","M365 Apps license not assigned after rejoin",,,"Productivity Tools"
"2026-W18","INC15484733","Microsoft 365 Apps for Enterprise Issues","License not assigned",,"AGS Entitlement Missing","M365 Apps license not assigned after rejoin",,,"Productivity Tools"
"2026-W18","INC15485162","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W18","INC15485392","Microsoft OneDrive Issues","OneDrive usage query",,"Former Employee Data Request","Former-employee OneDrive data request",,,"Productivity Tools"
"2026-W18","INC15485667","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot SKU Not Provisioned","Copilot licence assigned but not propagated",,,"Productivity Tools"
"2026-W18","INC15486025","Microsoft Excel Issues","Data refresh failure",,"Data Refresh Failure","Excel data refresh failure",,,"Productivity Tools"
"2026-W18","INC15486431","Microsoft 365 Apps for Enterprise Issues","Activation issue",,"F3 License Restriction","F3 license restriction",,,"Productivity Tools"
"2026-W18","INC15486727","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15487116","Microsoft Excel Issues","Excel performance issue",,"Excel Performance Degradation","Excel desktop performance degradation",,,"Productivity Tools"
"2026-W18","INC15487546","Microsoft Forms Issues","Forms access issue",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W18","INC15488159","Microsoft Forms Issues","Forms access issue",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W18","INC15488316","Microsoft PowerPoint Issues","File corruption issue",,"PowerPoint File Corruption","PowerPoint file corruption",,,"Productivity Tools"
"2026-W18","INC15489282","Shared File Service (Share Drives) Issues","Drive sync failure",,"Mapped Drive Not Reconnected","Drive remap required after PC change",,,"Productivity Tools"
"2026-W18","INC15489508","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W18","INC15489816","Microsoft OneNote Issues","Notebook sync failure",,"Missing Notes / Pages","Missing notes or pages in notebook",,,"Productivity Tools"
"2026-W18","INC15489884","Microsoft Forms Issues","Forms access issue",,"Forms Entitlement Missing","Forms Creation Access entitlement missing",,,"Productivity Tools"
"2026-W18","INC15489901","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15466905","Microsoft Word Issues","Addin not available",,"Office Store Blocked by Policy","Word add-in not deployed by IT",,,"Productivity Tools"
"2026-W19","INC15467018","Microsoft PowerPoint Issues","File corruption issue",,"PowerPoint File Corruption","PowerPoint file corruption",,,"Productivity Tools"
"2026-W19","INC15474419","Microsoft 365 Apps for Enterprise Issues","Installation failure",,"Click-to-Run Installer Corruption","Click-to-Run installer hung in Company Portal",,,"Productivity Tools"
"2026-W19","INC15481654","Microsoft OneDrive Issues","Former employee data — beyond 30 days",,"Former Employee Data Request","Former-employee OneDrive data request",,,"Productivity Tools"
"2026-W19","INC15482878","Microsoft OneDrive Issues","OneDrive client not running",,"OneDrive Sign-In / Connectivity Failure","OneDrive sign-in / connectivity failure",,,"Productivity Tools"
"2026-W19","INC15485299","Microsoft OneDrive Issues","Rejoin access issue",,"Rejoin Access Issue","Rejoin access not reapplied to OneDrive",,,"Productivity Tools"
"2026-W19","INC15487758","Microsoft OneDrive Issues","Sync stuck issue",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W19","INC15491817","Shared File Service (Share Drives) Issues","Mapped drive not connecting",,"Mapped Drive Not Reconnected","Drive remap required after PC change",,,"Productivity Tools"
"2026-W19","INC15491830","Shared File Service (Share Drives) Issues","Access permission issue",,"Drive-Letter Conflict","Drive-letter / resource conflict",,,"Productivity Tools"
"2026-W19","INC15492094","Microsoft Excel Issues","",,"Corrupted Add-in","Corrupted Excel add-in",,,"Productivity Tools"
"2026-W19","INC15492238","Microsoft 365 Apps for Enterprise Issues","App login failure",,"Sign-in / Login Failure","Office sign-in / login failure",,,"Productivity Tools"
"2026-W19","INC15492370","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W19","INC15492743","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15492763","Microsoft 365 Copilot Issues","",,"Copilot SKU Not Provisioned","Copilot usage / how-to question",,,"Productivity Tools"
"2026-W19","INC15493273","Microsoft 365 Apps for Enterprise Issues","App login failure",,"Sign-in / Login Failure","Office sign-in / login failure",,,"Productivity Tools"
"2026-W19","INC15493857","Microsoft OneDrive Issues","OneDrive sync failure",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W19","INC15493967","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15494006","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15494567","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15494686","Microsoft Word Issues","",,"Office Store Blocked by Policy","Word add-in not deployed by IT",,,"Productivity Tools"
"2026-W19","INC15494874","Microsoft OneDrive Issues","OneDrive client not running",,"OneDrive Client Failure","OneDrive client failed to launch",,,"Productivity Tools"
"2026-W19","INC15495525","Microsoft Excel Issues","",,"Corrupted Add-in","Corrupted Excel add-in",,,"Productivity Tools"
"2026-W19","INC15495808","Microsoft OneDrive Issues","OneDrive usage query",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W19","INC15496504","Microsoft OneDrive Issues","Shared file access issue",,"Shared File Permission Denied","Shared file permission denied",,,"Productivity Tools"
"2026-W19","INC15496674","Shared File Service (Share Drives) Issues","Missing folder / file",,"File Deleted from Shared Drive","File or folder deleted on share",,,"Productivity Tools"
"2026-W19","INC15496751","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15496816","Microsoft OneDrive Issues","Long file Path issue",,"Long File Path Issue","Long path or filename conflict",,,"Productivity Tools"
"2026-W19","INC15496995","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15497042","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15497092","Microsoft OneDrive Issues","Sync stuck issue",,"Sync Stall","OneDrive client stopped syncing",,,"Productivity Tools"
"2026-W19","INC15497506","Microsoft OneDrive Issues","Shared file access issue",,"PUID Mismatch","Stale permission entry on old identity",,,"Productivity Tools"
"2026-W19","INC15497628","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15497751","Microsoft OneDrive Issues","Long file Path issue",,"Long File Path Issue","Long path or filename conflict",,,"Productivity Tools"
"2026-W19","INC15498047","Microsoft 365 Copilot Issues","Copilot license missing",,"Copilot License Blackout","Copilot licence blackout (pool depleted)",,,"Productivity Tools"
"2026-W19","INC15498119","Microsoft PowerPoint Issues","File corruption issue",,"PowerPoint File Corruption","PowerPoint file corruption",,,"Productivity Tools"
